AGE,ID_CLIENT,CIBLE,YEARS_EMPLOYED,TOTAL_CREDIT,REMB_MENSUEL,CNT_FAM_MEMBERS,MONTANT_PRIX_BIENS,REVENU_TOTAL,SOURCE_EXTERNE_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_6,FLAG_DOCUMENT_8,TYPE_CONTRAT_Revolving loans,STATUT_FAMILIAL_Married,STATUT_FAMILIAL_Separated,STATUT_FAMILIAL_Single / not married,STATUT_FAMILIAL_Widow,PROPRIETAIRE_BIEN_IMMO_Y,TYPE_REVENUS_Maternity leave,TYPE_REVENUS_Pensioner,TYPE_REVENUS_State servant,TYPE_REVENUS_Unemployed,TYPE_REVENUS_Working,GENRE_M,NIVEAU_EDUCATION_Higher education,NIVEAU_EDUCATION_Incomplete higher,NIVEAU_EDUCATION_Lower secondary,NIVEAU_EDUCATION_Secondary / secondary special,PROPRIETAIRE_VOITURE_Y,nbr_membre
30,141581,0,2,254700.0,17019.0,3.0,225000.0,45000.0,0.2343550086100275,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
62,227220,0,-1000,197820.0,14917.5,2.0,180000.0,112500.0,0.3512939648635285,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
39,100594,0,2,360000.0,9900.0,1.0,360000.0,106398.0,0.492928192244867,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41,338880,0,22,988191.0,39321.0,3.0,909000.0,225000.0,0.7839987756583936,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
35,244779,0,10,265851.0,15390.0,2.0,229500.0,225000.0,0.6823864234679871,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
46,170986,0,1,117162.0,11718.0,2.0,103500.0,202500.0,0.6990834701569626,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
68,361772,0,-1000,225000.0,24363.0,2.0,225000.0,90000.0,0.232063516920602,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
41,201199,0,1,485640.0,39069.0,2.0,450000.0,247500.0,0.4474520339779709,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
56,146253,0,13,675000.0,26770.5,3.0,675000.0,126000.0,0.2930897022262147,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
30,305068,0,5,1125000.0,47794.5,3.0,1125000.0,225000.0,0.6082133636500614,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2
40,349444,0,2,1082214.0,31770.0,4.0,945000.0,112500.0,0.5323697706302554,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
23,197165,0,2,180000.0,9000.0,1.0,180000.0,121500.0,0.53559665265374,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
49,371859,0,11,270000.0,26833.5,3.0,270000.0,126000.0,0.6754556190123233,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
41,334700,0,11,573408.0,25389.0,3.0,495000.0,202500.0,0.5558526987179461,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
41,273964,0,2,697500.0,27157.5,2.0,697500.0,157500.0,0.6546658493825528,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
64,188877,0,17,257391.0,26374.5,1.0,238500.0,135000.0,0.4836999120852549,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
65,163315,0,-1000,521280.0,28278.0,2.0,450000.0,112500.0,0.7376006705969038,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
44,208161,0,5,1078200.0,34911.0,4.0,900000.0,157500.0,0.3902280894219264,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
37,244091,0,7,593010.0,17469.0,3.0,495000.0,315000.0,0.7062651142294162,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
48,344281,1,4,497520.0,33246.0,3.0,450000.0,112500.0,0.1767204415769705,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2
33,346199,1,8,2013840.0,59013.0,2.0,1800000.0,225000.0,0.5860284020111695,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
38,116568,0,3,1024740.0,52452.0,2.0,900000.0,157500.0,0.3723555350640606,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
42,383000,1,14,760225.5,38947.5,4.0,679500.0,135000.0,0.4588800393185413,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2
42,171005,0,2,175896.0,9108.0,2.0,126000.0,135000.0,0.0369438897056225,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
49,120851,0,4,351792.0,15034.5,1.0,252000.0,112500.0,0.5024674334171549,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
49,266667,0,13,180000.0,9000.0,1.0,180000.0,171000.0,0.3170294351363665,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
61,404224,0,-1000,270000.0,13914.0,1.0,270000.0,72000.0,0.3373486086843355,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
22,276663,0,2,247500.0,12375.0,2.0,247500.0,90000.0,0.2055865271398394,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
37,285234,0,1,376920.0,15480.0,2.0,270000.0,315000.0,0.7177652552655871,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
37,197274,0,1,71955.0,7749.0,2.0,67500.0,135000.0,0.5715929887355815,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
58,334929,0,5,900000.0,23872.5,2.0,900000.0,225000.0,0.6447225467398052,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
56,285563,0,-1000,900000.0,26446.5,2.0,900000.0,90000.0,0.3199246913092013,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
46,171126,0,11,755190.0,29677.5,3.0,675000.0,236250.0,0.5100377550261811,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2
46,113501,0,2,215640.0,19908.0,4.0,180000.0,225000.0,0.3467181794649282,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2
60,361973,0,-1000,884124.0,25978.5,2.0,738000.0,90000.0,0.1735739251618644,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
33,375398,0,10,585000.0,18868.5,2.0,585000.0,76500.0,0.3817443763543905,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
52,281198,0,12,227520.0,18103.5,2.0,180000.0,157500.0,0.4002266379932676,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
50,132347,0,0,267102.0,31828.5,2.0,247500.0,112500.0,0.6661653120232807,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1
59,272734,0,-1000,808650.0,23773.5,2.0,675000.0,112500.0,0.7464160476997254,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
37,414044,0,8,781920.0,31522.5,3.0,675000.0,207000.0,0.270488303209556,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2
37,349382,0,10,454500.0,21996.0,4.0,454500.0,157500.0,0.4124694230282016,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2
52,381161,0,31,625536.0,26631.0,2.0,540000.0,146250.0,0.3565391372715336,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
24,232812,0,5,545040.0,25537.5,1.0,450000.0,225000.0,0.5274672212100038,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
39,309768,0,3,568197.0,30820.5,3.0,490500.0,99000.0,0.4919553074998354,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2
23,301397,0,-1000,746280.0,54436.5,3.0,675000.0,427500.0,0.7321515989368833,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2
38,294590,0,-1000,675000.0,21906.0,2.0,675000.0,90000.0,0.5341658575777334,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
49,205644,0,9,1237500.0,61875.0,3.0,1237500.0,450000.0,0.6878116500771857,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2
58,304617,0,-1000,229500.0,11718.0,2.0,229500.0,112500.0,0.5307307885505054,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
30,163853,0,1,1034680.5,34326.0,4.0,927000.0,247500.0,0.5800425315760338,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
36,306857,0,4,640080.0,20227.5,2.0,450000.0,117000.0,0.551037387742896,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
52,395057,0,4,513531.0,26347.5,1.0,459000.0,270000.0,0.6742032101473874,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
51,155006,0,12,1350000.0,39474.0,3.0,1350000.0,175500.0,0.6430729122772352,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
44,183001,0,6,711072.0,30019.5,2.0,540000.0,180000.0,0.4245703332751571,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
52,328955,0,-1000,2428200.0,123480.0,2.0,2250000.0,427500.0,0.7208074157271079,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1
62,211827,0,-1000,675000.0,18940.5,1.0,675000.0,180000.0,0.3768843433535922,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
47,207270,0,2,252000.0,16231.5,2.0,252000.0,112500.0,0.2178909312586208,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
53,178747,0,1,508495.5,21672.0,2.0,454500.0,99000.0,0.6459137620423806,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
50,103920,0,6,781920.0,25969.5,1.0,675000.0,112500.0,0.5808945791623494,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
50,290666,0,12,450000.0,36211.5,1.0,450000.0,337500.0,0.4730816072242109,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
46,160156,0,10,339241.5,12312.0,2.0,238500.0,112500.0,0.4982087494427066,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
38,182628,0,0,675000.0,21906.0,3.0,675000.0,148500.0,0.6552934406953997,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
25,246218,0,0,1227901.5,45634.5,1.0,1129500.0,162000.0,0.6617400303310187,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
29,283081,0,3,286704.0,23116.5,3.0,247500.0,202500.0,0.5749257345273101,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
30,165228,1,2,592560.0,35937.0,3.0,450000.0,234000.0,0.5987897270104809,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
35,443900,0,1,539100.0,23143.5,2.0,450000.0,135000.0,0.0023529616514658,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
53,410491,0,29,296280.0,19062.0,2.0,225000.0,112500.0,0.5069389285240896,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
35,274623,0,6,448299.0,24318.0,1.0,387000.0,153000.0,0.6022153593818508,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
54,349937,0,4,675000.0,34290.0,2.0,675000.0,135000.0,0.7151665612909088,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1
32,136864,0,10,900000.0,25794.0,3.0,900000.0,482850.0,0.5233558525632022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2
32,107229,0,7,450000.0,47254.5,5.0,450000.0,189000.0,0.7009157519407901,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
41,242531,0,2,360000.0,18508.5,3.0,360000.0,90000.0,0.2675641319203065,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,2
45,216652,1,1,157050.0,8649.0,2.0,112500.0,135000.0,0.1621921059592286,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
57,326998,0,-1000,720000.0,30636.0,2.0,720000.0,189000.0,0.3222891515868123,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
67,116697,0,-1000,284400.0,16456.5,1.0,225000.0,67500.0,0.2622583692422573,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
54,258002,0,4,1031053.5,37165.5,2.0,783000.0,135000.0,0.7640785001815951,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
65,363438,0,-1000,450000.0,16965.0,1.0,450000.0,135000.0,0.6576211499451409,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
68,423208,0,4,239850.0,23494.5,1.0,225000.0,153000.0,0.7445988569816312,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
37,338685,0,8,270000.0,21775.5,4.0,270000.0,112500.0,0.2572088573199391,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
46,410774,0,14,1223010.0,51948.0,2.0,1125000.0,148500.0,0.5903294244913765,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
26,413186,0,2,419679.0,21447.0,3.0,346500.0,135000.0,0.6683452750617586,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
49,324212,1,1,808650.0,23773.5,2.0,675000.0,76500.0,0.7140784166622123,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
53,448463,0,1,1007761.5,38515.5,4.0,927000.0,135000.0,0.5661547990713984,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
57,318204,1,-1000,689742.0,29223.0,2.0,616500.0,121500.0,0.2303842660009573,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
50,328396,0,2,1006920.0,42790.5,1.0,900000.0,292500.0,0.60657595490437,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41,376560,0,5,178038.0,13977.0,5.0,162000.0,157500.0,0.0623015871188214,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2
24,385445,0,1,180000.0,9000.0,2.0,180000.0,180000.0,0.6274026455582203,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
32,222305,0,5,900000.0,26316.0,4.0,900000.0,121500.0,0.7616892901951066,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2
44,253968,0,11,729922.5,32283.0,4.0,580500.0,675000.0,0.6750624112540059,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
40,424997,0,0,257562.0,17554.5,2.0,184500.0,202500.0,0.3885798743136894,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
27,207611,0,1,450000.0,36081.0,1.0,450000.0,130500.0,0.6713195033154381,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
53,206760,0,6,824823.0,24246.0,1.0,688500.0,90000.0,0.6034143421532986,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
60,153870,0,8,298512.0,17136.0,2.0,270000.0,94500.0,0.4918241365273441,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
46,144742,0,10,904500.0,38452.5,3.0,904500.0,225000.0,0.7192998864965834,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2
50,387816,0,0,225000.0,10953.0,2.0,225000.0,112500.0,0.2519182480917624,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
32,190185,0,10,521280.0,22959.0,2.0,450000.0,180000.0,0.5528760593272872,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
58,371051,0,-1000,1236816.0,36292.5,2.0,1080000.0,193500.0,0.6121663891165097,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
54,105361,0,13,900000.0,60390.0,1.0,900000.0,202500.0,0.6912244200541031,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
33,393330,0,0,736330.5,47187.0,4.0,666000.0,135000.0,0.7176190456774286,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2
63,354382,0,10,385164.0,16447.5,1.0,292500.0,103500.0,0.2027087521000192,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
43,313301,0,4,1113840.0,57001.5,3.0,900000.0,162000.0,0.6232732454463407,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2
47,114269,0,3,536917.5,30109.5,2.0,463500.0,135000.0,0.6958072738545288,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
39,245145,0,2,298512.0,19435.5,2.0,270000.0,112500.0,0.124206692908587,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
46,303578,0,25,135000.0,6750.0,1.0,135000.0,112500.0,0.2316740429981181,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
65,299378,1,-1000,382500.0,15705.0,1.0,382500.0,90000.0,0.6013664282562353,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
57,201886,0,2,408780.0,20011.5,2.0,337500.0,144000.0,0.6330235847865322,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
44,216598,0,8,1213339.5,51538.5,2.0,1084500.0,360000.0,0.6590721339192476,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
48,444310,0,4,539100.0,29376.0,2.0,450000.0,72000.0,0.5494571772361223,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
34,370208,0,5,869296.5,46444.5,4.0,805500.0,202500.0,0.5423017615152536,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,2
30,379619,0,4,1041219.0,50220.0,2.0,855000.0,225000.0,0.1460381765862298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
51,378651,0,1,835605.0,24561.0,2.0,697500.0,117000.0,0.7294542561912145,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
40,346673,0,7,247500.0,12375.0,4.0,247500.0,67500.0,0.3784725090009156,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2
37,324915,0,7,754740.0,22198.5,4.0,630000.0,135000.0,0.6572911920664802,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
44,262199,1,5,1035832.5,30415.5,2.0,904500.0,135000.0,0.3274738624766193,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
61,225742,0,19,163098.0,16708.5,2.0,153000.0,157500.0,0.6728809254530879,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
40,134471,0,3,839259.0,27733.5,3.0,724500.0,180000.0,0.3338720818232893,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
41,411897,0,14,733500.0,31207.5,3.0,733500.0,270000.0,0.6026343582341862,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,2
42,115391,0,2,601470.0,30838.5,3.0,450000.0,157500.0,0.6307193532092593,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2
57,371494,0,-1000,1575000.0,101839.5,2.0,1575000.0,180000.0,0.7197323756356213,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
27,139064,0,2,728460.0,66942.0,2.0,675000.0,382500.0,0.4532763745097569,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
57,225678,0,-1000,948582.0,27733.5,2.0,679500.0,63000.0,0.2666694210975108,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
60,160022,0,9,913500.0,32940.0,2.0,913500.0,270000.0,0.6700202528386803,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
27,301317,1,4,754740.0,29245.5,2.0,630000.0,247500.0,0.014521689751556,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
65,104519,0,-1000,90000.0,5634.0,1.0,90000.0,225000.0,0.6000289139763209,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
67,191002,0,-1000,225000.0,22050.0,1.0,225000.0,180000.0,0.7521832272725778,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
35,453209,0,7,550980.0,43659.0,3.0,450000.0,180000.0,0.7055069429969123,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2
39,311497,0,5,545040.0,19575.0,2.0,450000.0,130500.0,0.2776667317418485,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
30,247563,0,3,755190.0,38686.5,2.0,675000.0,540000.0,0.5902342286634823,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1
